Temperature,Frequency
10.0 ,129.8070K
10.1 ,129.9020K
10.2 ,129.9970K
10.3 ,130.0910K
10.4 ,130.1860K
10.5 ,130.2810K
10.6 ,130.3790K
10.7 ,130.4740K
10.8 ,130.5690K
10.9 ,130.6620K
11.0 ,130.7620K
11.1 ,130.8560K
11.2 ,130.9570K
11.3 ,131.0540K
11.4 ,131.1500K
11.5 ,131.2470K
11.6 ,131.3450K
11.7 ,131.4410K
11.8 ,131.5420K
11.9 ,131.6420K
12.0 ,131.7390K
12.1 ,131.8380K
12.2 ,131.9340K
12.3 ,132.0330K
12.4 ,132.1340K
12.5 ,132.2320K
12.6 ,132.3320K
12.7 ,132.4350K
12.8 ,132.5340K
12.9 ,132.6350K
13.0 ,132.7380K
13.1 ,132.8400K
13.2 ,132.9420K
13.3 ,133.0400K
13.4 ,133.1420K
13.5 ,133.2470K
13.6 ,133.3490K
13.7 ,133.4500K
13.8 ,133.5500K
13.9 ,133.6520K
14.0 ,133.7560K
14.1 ,133.8590K
14.2 ,133.9630K
14.3 ,134.0700K
14.4 ,134.1700K
14.5 ,134.2770K
14.6 ,134.3790K
14.7 ,134.4860K
14.8 ,134.5890K
14.9 ,134.6950K
15.0 ,134.8000K
15.1 ,134.9070K
15.2 ,135.0140K
15.3 ,135.0940K
15.4 ,135.2250K
15.5 ,135.3310K
15.6 ,135.4390K
15.7 ,135.5460K
15.8 ,135.6540K
15.9 ,135.7610K
16.0 ,135.8740K
16.1 ,135.9820K
16.2 ,136.0900K
16.3 ,136.1940K
16.4 ,136.3060K
16.5 ,136.4140K
16.6 ,136.5250K
16.7 ,136.6370K
16.8 ,136.7430K
16.9 ,136.8570K
17.0 ,136.9670K
17.1 ,137.0750K
17.2 ,137.1890K
17.3 ,137.3000K
17.4 ,137.4100K
17.5 ,137.5260K
17.6 ,137.6370K
17.7 ,137.7490K
17.8 ,137.8600K
17.9 ,137.9770K
18.0 ,138.0890K
18.1 ,138.2000K
18.2 ,138.3160K
18.3 ,138.4290K
18.4 ,138.5460K
18.5 ,138.6610K
18.6 ,138.7750K
18.7 ,138.8910K
18.8 ,139.0070K
18.9 ,139.1220K
19.0 ,139.2390K
19.1 ,139.3550K
19.2 ,139.4750K
19.3 ,139.5890K
19.4 ,139.7070K
19.5 ,139.8260K
19.6 ,139.9420K
19.7 ,140.0590K
19.8 ,140.1830K
19.9 ,140.3000K
20.0 ,140.4200K
20.1 ,140.5400K
20.2 ,140.6610K
20.3 ,140.7780K
20.4 ,140.8980K
20.5 ,141.0190K
20.6 ,141.1450K
20.7 ,141.2630K
20.8 ,141.3800K
20.9 ,141.5040K
21.0 ,141.6260K
21.1 ,141.7490K
21.2 ,141.8740K
21.3 ,142.0000K
21.4 ,142.1200K
21.5 ,142.2450K
21.6 ,142.3670K
21.7 ,142.4920K
21.8 ,142.6190K
21.9 ,142.7430K
22.0 ,142.8720K
22.1 ,142.9960K
22.2 ,143.1200K
22.3 ,143.2460K
22.4 ,143.3760K
22.5 ,143.4990K
22.6 ,143.6330K
22.7 ,143.7590K
22.8 ,143.8840K
22.9 ,144.0140K
23.0 ,144.1500K
23.1 ,144.2790K
23.2 ,144.4060K
23.3 ,144.5380K
23.4 ,144.6670K
23.5 ,144.7940K
23.6 ,144.9210K
23.7 ,145.0520K
23.8 ,145.1880K
23.9 ,145.3210K
24.0 ,145.4530K
24.1 ,145.5880K
24.2 ,145.7150K
24.3 ,145.8530K
24.4 ,145.9840K
24.5 ,146.1200K
24.6 ,146.2540K
24.7 ,146.3860K
24.8 ,146.5270K
24.9 ,146.6610K
25.0 ,146.7950K
25.1 ,146.9350K
25.2 ,147.0390K
25.3 ,147.2080K
25.4 ,147.3480K
25.5 ,147.4860K
25.6 ,147.6250K
25.7 ,147.7650K
25.8 ,147.8980K
25.9 ,148.0410K
26.0 ,148.1780K
26.1 ,148.3200K
26.2 ,148.4640K
26.3 ,148.6030K
26.4 ,148.7410K
26.5 ,148.8890K
26.6 ,149.0320K
26.7 ,149.1770K
26.8 ,149.3200K
26.9 ,149.4640K
27.0 ,149.6060K
27.1 ,149.7510K
27.2 ,149.8890K
27.3 ,150.0370K
27.4 ,150.1810K
27.5 ,150.3310K
27.6 ,150.4730K
27.7 ,150.6250K
27.8 ,150.7670K
27.9 ,150.9170K
28.0 ,151.0680K
28.1 ,151.2140K
28.2 ,151.3690K
28.3 ,151.5190K
28.4 ,151.6630K
28.5 ,151.8170K
28.6 ,151.9670K
28.7 ,152.0320K
28.8 ,152.0980K
28.9 ,152.1630K
29.0 ,152.2290K
29.1 ,152.2940K
29.2 ,152.3600K
29.3 ,152.4250K
29.4 ,152.4910K
29.5 ,152.5560K
29.6 ,152.6220K
29.7 ,152.6870K
29.8 ,152.7530K
29.9 ,152.8180K
30.0 ,153.1230K
30.1 ,153.4930K
30.2 ,153.8520K
30.3 ,154.2110K
30.4 ,154.5700K
30.5 ,154.9300K
30.6 ,155.2980K
30.7 ,155.5770K
30.8 ,155.9760K
30.9 ,156.3630K
31.0 ,156.6470K
31.1 ,156.8390K
31.2 ,157.0170K
31.3 ,157.2200K
31.4 ,157.4110K
31.5 ,157.5990K
31.6 ,157.7860K
31.7 ,157.9890K
31.8 ,158.1800K
31.9 ,158.3750K
32.0 ,158.5770K
32.1 ,158.7660K
32.2 ,158.9590K
32.3 ,159.1600K
32.4 ,159.3520K
32.5 ,159.5570K
32.6 ,159.7600K
32.7 ,159.9540K
32.8 ,160.1550K
32.9 ,160.3600K
33.0 ,160.5620K
33.1 ,160.7650K
33.2 ,160.9650K
33.3 ,161.1720K
33.4 ,161.3800K
33.5 ,161.5910K
33.6 ,161.7970K
33.7 ,162.0000K
33.8 ,162.2110K
33.9 ,162.4260K
34.0 ,162.6300K
34.1 ,162.8380K
34.2 ,163.0560K
34.3 ,163.2730K
34.4 ,163.4840K
34.5 ,163.6990K
34.6 ,163.9140K
34.7 ,164.1320K
34.8 ,164.3420K
34.9 ,164.5670K
35.0 ,164.7860K
35.1 ,165.0010K
35.2 ,165.2270K
35.3 ,165.4380K
35.4 ,165.6660K
35.5 ,165.8940K
35.6 ,166.1120K
35.7 ,166.3400K
35.8 ,166.5710K
35.9 ,166.6300K
36.0 ,167.0240K
36.1 ,167.2480K
36.2 ,167.4800K
36.3 ,167.7100K
36.4 ,167.9410K
36.5 ,168.1750K
36.6 ,168.4180K
36.7 ,168.6400K
36.8 ,168.8760K
36.9 ,169.1190K
37.0 ,169.3460K
37.1 ,169.5950K
37.2 ,169.8430K
37.3 ,170.0790K
37.4 ,170.3210K
37.5 ,170.5550K
37.6 ,170.7970K
37.7 ,171.0410K
37.8 ,171.2900K
37.9 ,171.5380K
38.0 ,171.7810K
38.1 ,172.0330K
38.2 ,172.2840K
38.3 ,172.5360K
38.4 ,172.7820K
38.5 ,173.0390K
38.6 ,173.2960K
38.7 ,173.5550K
38.8 ,173.8110K
38.9 ,174.0670K
39.0 ,174.3150K
39.1 ,174.5920K
39.2 ,174.8530K
39.3 ,175.1120K
39.4 ,175.3730K
39.5 ,175.6340K
39.6 ,175.9060K
39.7 ,176.1740K
39.8 ,176.4310K
39.9 ,176.7040K
40.0 ,176.9720K
40.1 ,177.2500K
40.2 ,177.5130K
40.3 ,177.7950K
40.4 ,178.0710K
40.5 ,178.3300K
40.6 ,178.6180K
40.7 ,178.9060K
40.8 ,179.1910K
40.9 ,179.4730K
41.0 ,179.7500K
41.1 ,180.0360K
41.2 ,180.3250K
41.3 ,180.6120K
41.4 ,180.9100K
41.5 ,181.2020K
41.6 ,181.4870K
41.7 ,181.7800K
41.8 ,182.0720K
41.9 ,182.3670K
42.0 ,182.6600K
42.1 ,182.9670K
42.2 ,183.2620K
42.3 ,183.5600K
42.4 ,183.8770K
42.5 ,184.1800K
42.6 ,184.4880K
42.7 ,184.7930K
42.8 ,185.0950K
42.9 ,185.3720K
43.0 ,185.7290K
43.1 ,186.0390K
43.2 ,186.3380K
43.3 ,186.6690K
43.4 ,186.9930K
43.5 ,187.3070K
43.6 ,187.6300K
43.7 ,187.9550K
