Temperature,Frequency
60.0,282682
59.9,281634
59.8,280559
59.7,279509
59.6,278467
59.5,277464
59.4,276435
59.3,275429
59.2,274449
59.1,273488
59.0,272534
58.9,271511
58.8,270598
58.7,269683
58.6,268695
58.5,267779
58.4,266856
58.3,265973
58.2,265068
58.1,264167
58.0,263258
57.9,262418
57.8,261530
57.7,260713
57.6,259830
57.5,259025
57.4,258200
57.3,257368
57.2,256550
57.1,255746
57.0,254947
56.9,254192
56.8,253352
56.7,252563
56.6,251819
56.5,251033
56.4,250261
56.3,249525
56.2,248796
56.1,248052
56.0,247332
55.9,246588
55.8,245868
55.7,245146
55.6,244430
55.5,243717
55.4,243027
55.3,242356
55.2,241684
55.1,240980
55.0,240338
54.9,239664
54.8,238991
54.7,238371
54.6,237609
54.5,237048
54.4,236414
54.3,235766
54.2,235140
54.1,234526
54.0,233887
53.9,233266
53.8,232662
53.7,232048
53.6,231447
53.5,230835
53.4,230230
53.3,229682
53.2,229076
53.1,228486
53.0,227884
52.9,227328
52.8,226778
52.7,226211
52.6,225680
52.5,225090
52.4,224555
52.3,224010
52.2,223480
52.1,222890
52.0,222409
51.9,221843
51.8,221345
51.7,220775
51.6,220256
51.5,219763
51.4,219228
51.3,218731
51.2,218238
51.1,217716
51.0,217220
50.9,216738
50.8,216244
50.7,215753
50.6,215245
50.5,214768
50.4,214284
50.3,213832
50.2,213366
50.1,212871
50.0,212416
49.9,211960
49.8,211473
49.7,211014
49.6,210570
49.5,210109
49.4,209671
49.3,209224
49.2,208778
49.1,208313
49.0,207906
48.9,207450
48.8,207026
48.7,206594
48.6,206163
48.5,205751
48.4,205310
48.3,204898
48.2,204504
48.1,204078
48.0,203656
47.9,203248
47.8,202840
47.7,202445
47.6,202036
47.5,201628
47.4,201227
47.3,200836
47.2,200445
47.1,200043
47.0,199651
46.9,199271
46.8,198887
46.7,198505
46.6,198130
46.5,197749
46.4,197366
46.3,196993
46.2,196630
46.1,196252
46.0,195892
45.9,195523
45.8,195148
45.7,194789
45.6,194434
45.5,194084
45.4,193716
45.3,193382
45.2,193016
45.1,192666
45.0,192303
44.9,191957
44.8,191611
44.7,191279
44.6,190937
44.5,190605
44.4,190262
44.3,189932
44.2,189596
44.1,189267
44.0,188929
43.9,188606
43.8,188282
43.7,187955
43.6,187630
43.5,187307
43.4,186993
43.3,186669
43.2,186338
43.1,186039
43.0,185729
42.9,185372
42.8,185095
42.7,184793
42.6,184488
42.5,184180
42.4,183877
42.3,183560
42.2,183262
42.1,182967
42.0,182660
41.9,182367
41.8,182072
41.7,181780
41.6,181487
41.5,181202
41.4,180910
41.3,180612
41.2,180325
41.1,180036
41.0,179750
40.9,179473
40.8,179191
40.7,178906
40.6,178618
40.5,178330
40.4,178071
40.3,177795
40.2,177513
40.1,177250
40.0,176972
39.9,176704
39.8,176431
39.7,176174
39.6,175906
39.5,175634
39.4,175373
39.3,175112
39.2,174853
39.1,174592
39.0,174315
38.9,174067
38.8,173811
38.7,173555
38.6,173296
38.5,173039
38.4,172782
38.3,172536
38.2,172284
38.1,172033
38.0,171781
37.9,171538
37.8,171290
37.7,171041
37.6,170797
37.5,170555
37.4,170321
37.3,170079
37.2,169843
37.1,169595
37.0,169346
36.9,169119
36.8,168876
36.7,168640
36.6,168418
36.5,168175
36.4,167941
36.3,167710
36.2,167480
36.1,167248
36.0,167024
35.9,166630
35.8,166571
35.7,166340
35.6,166112
35.5,165894
35.4,165666
35.3,165438
35.2,165227
35.1,165001
35.0,164786
34.9,164567
34.8,164342
34.7,164132
34.6,163914
34.5,163699
34.4,163484
34.3,163273
34.2,163056
34.1,162838
34.0,162630
33.9,162426
33.8,162211
33.7,162000
33.6,161797
33.5,161591
33.4,161380
33.3,161172
33.2,160965
33.1,160765
33.0,160562
32.9,160360
32.8,160155
32.7,159954
32.6,159760
32.5,159557
32.4,159352
32.3,159160
32.2,158959
32.1,158766
32.0,158577
31.9,158375
31.8,158180
31.7,157989
31.6,157786
31.5,157599
31.4,157411
31.3,157220
31.2,157017
31.1,156839
31.0,156647
30.9,156363
30.8,155976
30.7,155577
30.6,155298
30.5,154930
30.4,154570
30.3,154211
30.2,153852
30.1,153493
30.0,153123
29.9,152818
29.8,152753
29.7,152687
29.6,152622
29.5,152556
29.4,152491
29.3,152425
29.2,152360
29.1,152294
29.0,152229
28.9,152163
28.8,152098
28.7,152032
28.6,151967
28.5,151817
28.4,151663
28.3,151519
28.2,151369
28.1,151214
28.0,151068
27.9,150917
27.8,150767
27.7,150625
27.6,150473
27.5,150331
27.4,150181
27.3,150037
27.2,149889
27.1,149751
27.0,149606
26.9,149464
26.8,149320
26.7,149177
26.6,149032
26.5,148889
26.4,148741
26.3,148603
26.2,148464
26.1,148320
26.0,148178
25.9,148041
25.8,147898
25.7,147765
25.6,147625
25.5,147486
25.4,147348
25.3,147208
25.2,147039
25.1,146935
25.0,146795
24.9,146661
24.8,146527
24.7,146386
24.6,146254
24.5,146120
24.4,145984
24.3,145853
24.2,145715
24.1,145588
24.0,145453
23.9,145321
23.8,145188
23.7,145052
23.6,144921
23.5,144794
23.4,144667
23.3,144538
23.2,144406
23.1,144279
23.0,144150
22.9,144014
22.8,143884
22.7,143759
22.6,143633
22.5,143499
22.4,143376
22.3,143246
22.2,143120
22.1,142996
22.0,142872
21.9,142743
21.8,142619
21.7,142492
21.6,142367
21.5,142245
21.4,142120
21.3,142000
21.2,141874
21.1,141749
21.0,141626
20.9,141504
20.8,141380
20.7,141263
20.6,141145
20.5,141019
20.4,140898
20.3,140778
20.2,140661
20.1,140540
20.0,140420
19.9,140300
19.8,140183
19.7,140059
19.6,139942
19.5,139826
19.4,139707
19.3,139589
19.2,139475
19.1,139355
19.0,139239
18.9,139122
18.8,139007
18.7,138891
18.6,138775
18.5,138661
18.4,138546
18.3,138429
18.2,138316
18.1,138200
18.0,138089
17.9,137977
17.8,137860
17.7,137749
17.6,137637
17.5,137526
17.4,137410
17.3,137300
17.2,137189
17.1,137075
17.0,136967
16.9,136857
16.8,136743
16.7,136637
16.6,136525
16.5,136414
16.4,136306
16.3,136194
16.2,136090
16.1,135982
16.0,135874
15.9,135761
15.8,135654
15.7,135546
15.6,135439
15.5,135331
15.4,135225
15.3,135094
15.2,135014
15.1,134907
15.0,134800
14.9,134695
14.8,134589
14.7,134486
14.6,134379
14.5,134277
14.4,134170
14.3,134070
14.2,133963
14.1,133859
14.0,133756
13.9,133652
13.8,133550
13.7,133450
13.6,133349
13.5,133247
13.4,133142
13.3,133040
13.2,132942
13.1,132840
13.0,132738
12.9,132635
12.8,132534
12.7,132435
12.6,132332
12.5,132232
12.4,132134
12.3,132033
12.2,131934
12.1,131838
12.0,131739
11.9,131642
11.8,131542
11.7,131441
11.6,131345
11.5,131247
11.4,131150
11.3,131054
11.2,130957
11.1,130856
11.0,130762
10.9,130662
10.8,130569
10.7,130474
10.6,130379
10.5,130281
10.4,130186
10.3,130091
10.2,129997
10.1,129902
10.0,129807
