Temperature,Frequency
10.0 ,265.4060K
10.1 ,265.6730K
10.2 ,265.9730K
10.3 ,266.2450K
10.4 ,266.4740K
10.5 ,266.7350K
10.6 ,266.9920K
10.7 ,267.2910K
10.8 ,267.5460K
10.9 ,267.8050K
11.0 ,268.0520K
11.1 ,268.3160K
11.2 ,268.5910K
11.3 ,268.8820K
11.4 ,269.1300K
11.5 ,269.4110K
11.6 ,269.6940K
11.7 ,269.9440K
11.8 ,270.2240K
11.9 ,270.5250K
12.0 ,270.7630K
12.1 ,271.0440K
12.2 ,271.3300K
12.3 ,271.6240K
12.4 ,271.9110K
12.5 ,272.1570K
12.6 ,272.4330K
12.7 ,272.7610K
12.8 ,273.0150K
12.9 ,273.3180K
13.0 ,273.5960K
13.1 ,273.9110K
13.2 ,274.1840K
13.3 ,274.4640K
13.4 ,274.7590K
13.5 ,275.0400K
13.6 ,275.3050K
13.7 ,275.6390K
13.8 ,275.9090K
13.9 ,276.2000K
14.0 ,276.4940K
14.1 ,276.7740K
14.2 ,277.1100K
14.3 ,277.3920K
14.4 ,277.6700K
14.5 ,277.9520K
14.6 ,278.2660K
14.7 ,278.5550K
14.8 ,278.8800K
14.9 ,279.1450K
15.0 ,279.4660K
15.1 ,279.7650K
15.2 ,280.0830K
15.3 ,280.3870K
15.4 ,280.6770K
15.5 ,281.0200K
15.6 ,281.2830K
15.7 ,281.6190K
15.8 ,281.9220K
15.9 ,282.2440K
16.0 ,282.5750K
16.1 ,282.8990K
16.2 ,283.2420K
16.3 ,283.5310K
16.4 ,283.8240K
16.5 ,284.1390K
16.6 ,284.4620K
16.7 ,284.8020K
16.8 ,285.1000K
16.9 ,285.4660K
17.0 ,285.7320K
17.1 ,286.0860K
17.2 ,286.3950K
17.3 ,286.7320K
17.4 ,287.0440K
17.5 ,287.4290K
17.6 ,287.7270K
17.7 ,288.0760K
17.8 ,288.3840K
17.9 ,288.7040K
18.0 ,289.0910K
18.1 ,289.3810K
18.2 ,289.7470K
18.3 ,290.0900K
18.4 ,290.4320K
18.5 ,290.7700K
18.6 ,291.0980K
18.7 ,291.4470K
18.8 ,291.7650K
18.9 ,292.1380K
19.0 ,292.4730K
19.1 ,292.8370K
19.2 ,293.1950K
19.3 ,293.5640K
19.4 ,293.8760K
19.5 ,294.2650K
19.6 ,294.6200K
19.7 ,294.9870K
19.8 ,295.3500K
19.9 ,295.6970K
20.0 ,295.9660K
20.1 ,296.3950K
20.2 ,296.7250K
20.3 ,297.1420K
20.4 ,297.4820K
20.5 ,297.8750K
20.6 ,298.2390K
20.7 ,298.5600K
20.8 ,298.9330K
20.9 ,299.3190K
21.0 ,299.7380K
21.1 ,300.0850K
21.2 ,300.4470K
21.3 ,300.8890K
21.4 ,301.1920K
21.5 ,301.6190K
21.6 ,301.9710K
21.7 ,302.3570K
21.8 ,302.7710K
21.9 ,303.1510K
22.0 ,303.5490K
22.1 ,303.8810K
22.2 ,304.3030K
22.3 ,304.6840K
22.4 ,305.0900K
22.5 ,305.5270K
22.6 ,305.9020K
22.7 ,306.2650K
22.8 ,306.6640K
22.9 ,307.1000K
23.0 ,307.5220K
23.1 ,307.8700K
23.2 ,308.2760K
23.3 ,308.6830K
23.4 ,309.1160K
23.5 ,309.4930K
23.6 ,309.8920K
23.7 ,310.3390K
23.8 ,310.7530K
23.9 ,311.2210K
24.0 ,311.6360K
24.1 ,312.0010K
24.2 ,312.4310K
24.3 ,312.9200K
24.4 ,313.3550K
24.5 ,313.7040K
24.6 ,314.0680K
24.7 ,314.3750K
24.8 ,314.9950K
24.9 ,315.4840K
25.0 ,315.7100K
25.1 ,316.2940K
25.2 ,316.8160K
25.3 ,317.1200K
25.4 ,317.3530K
25.5 ,318.1540K
25.6 ,318.6240K
25.7 ,319.0220K
25.8 ,319.5340K
25.9 ,319.9320K
26.0 ,320.3810K
26.1 ,320.9310K
26.2 ,321.2790K
26.3 ,321.7670K
26.4 ,322.2350K
26.5 ,322.6590K
26.6 ,323.1770K
26.7 ,323.6470K
26.8 ,324.1570K
26.9 ,324.6080K
27.0 ,325.0850K
